,title,price,rating,reviews,market,link,req
0,"Кружка для чая и кофе Montserrat с крышкой, 380 мл, нишевая керамика, ручка-бублик, сохраняет тепло",603 ₽,4.6,393,ozon,https://www.ozon.ru/product/kruzhka-dlya-chaya-i-kofe-montserrat-s-kryshkoy-380-ml-nishevaya-keramika-ruchka-bublik-1809416819/?at=pZtp4YEGos611JpDsA4gGyNTYVpN64TvDPPORczGJLmg,Кружка
1,"Кружка ""Золотой дракон"", объем 350 мл, с крышкой и керамическим ситом",754 ₽,4.6,421,ozon,https://www.ozon.ru/product/kruzhka-zolotoy-drakon-obem-350-ml-s-kryshkoy-i-keramicheskim-sitom-496237838/?at=ywtAOxmgoTQB63WLHYgZWGRu36AXOJu6727lofq8MlQM,Кружка
2,"Кружка Oxilife, чайная пара, 200 мл перламутровая",558 ₽,4.9,23,ozon,https://www.ozon.ru/product/kruzhka-oxilife-chaynaya-para-200-ml-perlamutrovaya-1979169120/?at=Y7tjVroQlfW91BpPSgp7k8YsoGWQ42hrKkmgzUjjAZ0r,Кружка
3,"Кружка для чая и кофе на 400мл ""Morning"" на 50% состоит из пшеничного волокна, цвет бежевый / Эко кружки",169 ₽,4.8,1869,ozon,https://www.ozon.ru/product/kruzhka-dlya-chaya-i-kofe-na-400ml-morning-na-50-sostoit-iz-pshenichnogo-volokna-tsvet-bezhevyy-801026775/?at=nRtr98pzDhgQxYvWSOpKwxPTWkwpO9CYqyxolT1jl9jy,Кружка
4,"Кружка с принтом ""Ща раздуплюсь""",410 ₽,5.0,4,ozon,https://www.ozon.ru/product/kruzhka-s-printom-shcha-razduplyus-1960423769/?at=k2to2x37BcDAW4O8cM381PvHNrM5jlfrGzPVVhAw6x8D,Кружка
5,"SmagShop Кружка ""Голубые ромашки"", 250 мл, 1 шт",673 ₽,5.0,177,ozon,https://www.ozon.ru/product/smagshop-kruzhka-golubye-romashki-250-ml-1-sht-1665640782/?at=28t05Mov3cxlX2omtgx9AMru5DmpOWfQX8R1QugWxV4J,Кружка
6,"SmagShop Кружка ""тюльпаны-3"", 400 мл, 1 шт",575 ₽,5.0,177,ozon,https://www.ozon.ru/product/smagshop-kruzhka-tyulpany-3-400-ml-1-sht-1840998490/?at=r2t4Qg3pZFglpqBnSREXkXZc20jgLgcVRAvL4sRo5Lvx,Кружка
7,"Чашка для чая, 250 мл, 1 шт",273 ₽,5.0,3,ozon,https://www.ozon.ru/product/chashka-dlya-chaya-250-ml-1-sht-1878717329/?at=QktJv048Pc9QYz4lhJx48nRu522g9YSjZwY67tJgNoJ0,Кружка
8,"Полюс Принт Кружка ""Анжуманя"", 330 мл, 1 шт",256 ₽,4.9,1312,ozon,https://www.ozon.ru/product/polyus-print-kruzhka-anzhumanya-330-ml-1-sht-1310208898/?at=28t05Mov3cWg2QZNhO1oDL5tE1Qg3ZhEDE3LAcAzg568,Кружка
9,"Полюс Принт Кружка ""Чаша вождя"", 330 мл, 1 шт",256 ₽,4.9,4734,ozon,https://www.ozon.ru/product/polyus-print-kruzhka-chasha-vozhdya-330-ml-1-sht-839221337/?at=PjtJzpAOXcpo17LrhBLQQNZcz01j5AUM3Dl40CpR1pk4,Кружка
10,"Кружка Sand 360 мл., темно-серый, 1 шт.",284 ₽,4.9,661,ozon,https://www.ozon.ru/product/kruzhka-sand-360-ml-temno-seryy-1-sht-1697293121/?at=lRt6RQqyEIW5gnw4I71YkypS1J3Wj3CONGPkmhRA8vv4,Кружка
11,"Кружка керамическая Atmosphere ""Sweethearts"", 340 мл розовый",266 ₽,4.9,627,ozon,https://www.ozon.ru/product/kruzhka-keramicheskaya-atmosphere-sweethearts-340-ml-rozovyy-200539975/?at=Z8tXKJnEgUnXBN3nU6Gvp7nsv8zD5Rup9XNkLCQVmRg9,Кружка
12,"Кружка керамическая Lefard ""Веселый Смайлик"" 300 мл., 9 х 8,2 см",199 ₽,4.8,847,ozon,https://www.ozon.ru/product/kruzhka-keramicheskaya-lefard-veselyy-smaylik-300-ml-9-h-8-2-sm-1579077326/?at=PjtJzpAOXc7lpKwYfkBAkQLsA1555sQD4E0QiBoRQ97,Кружка
13,Набор кружек для чая и кофе 4 шт. 240 мл. из белой керамики Unifico Como Bianca,897 ₽,4.9,2916,ozon,https://www.ozon.ru/product/nabor-kruzhek-dlya-chaya-i-kofe-4-sht-240-ml-iz-beloy-keramiki-unifico-como-bianca-1711078458/?at=vQtrwQ0G8hyDvjOsPDRvpXuykmWN3C1P9BwWFJr1rrL,Кружка
14,"Набор кружек, 360 мл, 1 шт",801 ₽,5.0,17,ozon,https://www.ozon.ru/product/nabor-kruzhek-360-ml-1-sht-1764124332/?at=NOtwk45A3clZG0omH6R56mvUy0mo9ps4LQ9RxCmVyVQX,Кружка
15,"Кружка хамелеон Доляна ""Заряд энергии"", объем 350 мл, керамика, подарок на 23 февраля мужчине",302 ₽,4.9,7389,ozon,https://www.ozon.ru/product/kruzhka-hameleon-dolyana-zaryad-energii-obem-350-ml-keramika-podarok-na-23-fevralya-muzhchine-516143694/?at=28t05Mov3cBVogQNhr3RDROFprMLqnU8yjWN9SJMXMWR,Кружка
